"source","stocklong","reference","year","n","n_units","catch","notes"
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1980,252000,"ram",22200,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1981,230000,"ram",23000,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1982,214000,"ram",20900,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1983,201000,"ram",19500,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1984,169000,"ram",21100,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1985,160000,"ram",21300,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1986,141000,"ram",25200,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1987,119000,"ram",20600,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1988,98500,"ram",15400,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1989,90800,"ram",11500,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1990,80400,"ram",9940,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1991,80800,"ram",8500,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1992,82500,"ram",7480,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1993,83900,"ram",5880,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1994,82800,"ram",4370,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1995,96500,"ram",4310,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1996,110000,"ram",3750,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1997,123000,"ram",4760,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1998,132000,"ram",5950,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",1999,146000,"ram",4960,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",2000,157000,"ram",4760,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",2001,174000,"ram",5530,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",2002,197000,"ram",4810,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",2003,228000,"ram",5810,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",2004,235000,"ram",6080,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",2005,238000,"ram",7400,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",2006,249000,"ram",6960,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",2007,235000,"ram",9280,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",2008,240000,"ram",12200,NA
"Hilborn et al. (2017)","Pollock Gulf of Maine / Georges Bank","RAM",2009,210000,"ram",8740,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1900,527000,"ram",50,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1901,526000,"ram",77,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1902,525000,"ram",106,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1903,525000,"ram",134,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1904,523000,"ram",163,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1905,522000,"ram",146,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1906,521000,"ram",130,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1907,520000,"ram",114,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1908,519000,"ram",98,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1909,518000,"ram",142,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1910,516000,"ram",189,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1911,515000,"ram",233,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1912,513000,"ram",278,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1913,512000,"ram",323,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1914,510000,"ram",368,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1915,508000,"ram",413,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1916,506000,"ram",1360,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1917,503000,"ram",2210,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1918,499000,"ram",3170,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1919,495000,"ram",1300,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1920,492000,"ram",983,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1921,489000,"ram",1450,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1922,486000,"ram",721,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1923,483000,"ram",1670,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1924,480000,"ram",1730,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1925,477000,"ram",1940,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1926,473000,"ram",1520,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1927,469000,"ram",2120,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1928,465000,"ram",1830,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1929,462000,"ram",2010,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1930,458000,"ram",2280,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1931,453000,"ram",1260,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1932,450000,"ram",1430,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1933,447000,"ram",1410,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1934,443000,"ram",2100,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1935,439000,"ram",2700,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1936,434000,"ram",1910,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1937,430000,"ram",1840,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1938,425000,"ram",1690,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1939,421000,"ram",2040,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1940,417000,"ram",1430,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1941,413000,"ram",1550,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1942,409000,"ram",2670,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1943,404000,"ram",3370,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1944,398000,"ram",3640,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1945,391000,"ram",4040,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1946,384000,"ram",3750,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1947,378000,"ram",1930,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1948,374000,"ram",2520,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1949,369000,"ram",2240,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1950,365000,"ram",2080,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1951,361000,"ram",3430,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1952,356000,"ram",2060,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1953,353000,"ram",1690,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1954,351000,"ram",2390,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1955,349000,"ram",2270,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1956,349000,"ram",3660,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1957,348000,"ram",2650,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1958,349000,"ram",1610,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1959,354000,"ram",2320,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1960,360000,"ram",3030,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1961,367000,"ram",1910,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1962,379000,"ram",2850,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1963,392000,"ram",1930,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1964,409000,"ram",2190,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1965,428000,"ram",2070,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1966,447000,"ram",2010,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1967,465000,"ram",4490,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1968,478000,"ram",2880,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1969,492000,"ram",5730,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1970,505000,"ram",4980,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1971,521000,"ram",4220,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1972,536000,"ram",7050,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1973,544000,"ram",6140,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1974,548000,"ram",9140,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1975,545000,"ram",15300,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1976,536000,"ram",26500,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1977,523000,"ram",9430,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1978,524000,"ram",13200,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1979,515000,"ram",25700,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1980,497000,"ram",9720,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1981,493000,"ram",12400,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1982,488000,"ram",20800,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1983,473000,"ram",16200,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1984,457000,"ram",15600,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1985,440000,"ram",15500,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1986,427000,"ram",14500,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1987,416000,"ram",14000,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1988,406000,"ram",11900,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1989,396000,"ram",11400,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1990,389000,"ram",10100,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1991,386000,"ram",10500,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1992,381000,"ram",10300,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1993,372000,"ram",8910,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1994,361000,"ram",8190,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1995,350000,"ram",8540,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1996,341000,"ram",9000,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1997,328000,"ram",8630,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1998,314000,"ram",4710,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",1999,302000,"ram",7210,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",2000,294000,"ram",6930,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",2001,291000,"ram",6350,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",2002,290000,"ram",4190,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",2003,290000,"ram",5720,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",2004,285000,"ram",6140,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",2005,276000,"ram",6590,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",2006,263000,"ram",6560,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",2007,248000,"ram",5540,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",2008,233000,"ram",6240,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",2009,223000,"ram",7760,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",2010,212000,"ram",7340,NA
"Hilborn et al. (2017)","Sablefish Pacific Coast","RAM",2011,206000,"ram",NA,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1980,NA,NA,192000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1981,NA,NA,159000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1982,NA,NA,193000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1983,NA,NA,233000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1984,NA,NA,224000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1985,NA,NA,259000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1986,NA,NA,226000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1987,NA,NA,210000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1988,NA,NA,288000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1989,NA,NA,247000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1990,NA,NA,311000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1991,NA,NA,299000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1992,NA,NA,259000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1993,NA,NA,274000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1994,NA,NA,251000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1995,NA,NA,273000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1996,NA,NA,231000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1997,NA,NA,285000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1998,NA,NA,140000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",1999,NA,NA,135000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",2000,NA,NA,212000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",2001,NA,NA,266000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",2002,NA,NA,205000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",2003,4440760,"ram",260000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",2004,2317294,"ram",205000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",2005,3449117,"ram",230000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",2006,2542274,"ram",240000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",2007,1875987,"ram",296000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",2008,3774473,"ram",343000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",2009,1850028,"ram",308000,NA
"Hilborn et al. (2017)","Pacific saury Northwest Pacific","RAM",2010,1635432,"ram",193000,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1975,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1976,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1977,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1978,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1979,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1980,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1981,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1982,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1983,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1984,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1985,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1986,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1987,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1988,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1989,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1990,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1991,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1992,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1993,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1994,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1995,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1996,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1997,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1998,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",1999,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",2000,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",2001,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",2002,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",2003,NA,NA,NA,NA
"Hilborn et al. (2017)","Sandbar shark Atlantic","RAM",2004,NA,NA,NA,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1960,NA,NA,37200,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1961,NA,NA,35200,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1962,NA,NA,35000,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1963,NA,NA,37800,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1964,NA,NA,29700,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1965,NA,NA,29100,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1966,NA,NA,21300,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1967,NA,NA,15900,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1968,NA,NA,13700,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1969,NA,NA,9330,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1970,NA,NA,8050,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1971,NA,NA,7720,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1972,NA,NA,8760,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1973,NA,NA,10500,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1974,NA,NA,13000,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1975,NA,NA,13600,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1976,NA,NA,12200,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1977,NA,NA,14000,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1978,NA,NA,14700,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1979,NA,NA,14100,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1980,NA,NA,15800,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1981,NA,NA,17500,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1982,NA,NA,15400,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1983,NA,NA,14600,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1984,39711.18,"ram",11100,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1985,37215.53,"ram",13700,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1986,34902.57,"ram",14500,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1987,29603.22,"ram",11700,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1988,23236.65,"ram",9570,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1989,19458.79,"ram",8770,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1990,20648.13,"ram",10400,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1991,20152.37,"ram",14400,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1992,17344.67,"ram",14000,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1993,13449.27,"ram",7640,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1994,9688.535,"ram",6430,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1995,8734.972,"ram",5750,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1996,11163.37,"ram",5470,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1997,12270.98,"ram",4580,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1998,14815.77,"ram",5640,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",1999,27055.94,"ram",7190,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",2000,56286.13,"ram",6080,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",2001,112696.5,"ram",5330,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",2002,158696,"ram",10600,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",2003,167440,"ram",10600,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",2004,178609.5,"ram",7180,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",2005,205117.2,"ram",6250,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",2006,231132.6,"ram",6970,NA
"Hilborn et al. (2017)","Scup Northwestern Atlantic Coast","RAM",2007,261101.4,"ram",7870,NA
"Hilborn et al. (2017)","Spiny dogfish Atlantic Coast","RAM",1962,NA,NA,NA,NA
"Hilborn et al. (2017)","Spiny dogfish Atlantic Coast","RAM",1963,NA,NA,NA,NA
"Hilborn et al. (2017)","Spiny dogfish Atlantic Coast","RAM",1964,NA,NA,NA,NA
"Hilborn et al. (2017)","Spiny dogfish Atlantic Coast","RAM",1965,NA,NA,NA,NA
"Hilborn et al. (2017)","Spiny dogfish Atlantic Coast","RAM",1966,NA,NA,NA,NA
"Hilborn et al. (2017)","Spiny dogfish Atlantic Coast","RAM",1967,NA,NA,NA,NA
